product,grape,score,avg_price_liter
"Anakena Cabernet Sauvignon, Rapel  Valley",  Cabernet Sauvignon  ,83.0,57.33
"Luis Felipe Edwards  Sauvignon Blanc, Central Valley",  Sauvignon Blanc  ,86.0,65.33
"Matetic EQ Coastal  Sauvignon Blanc, San Antonio Valley",  Sauvignon Blanc  ,90.0,97.33
"Santa Carolina Cabernet  Sauvignon, Rapel Valley",  Cabernet Sauvignon  ,87.0,57.33
"Montes Reserva Merlot, Colchagua  Valley",  Merlot  ,85.0,57.33
"Errazuriz Don  Maximiano Villa, Aconcagua Valley",  Bordeaux Blend Red  ,93.0,252.0
"Palo Alto  Reserva I Cabernet Sauvignon - Carmenere - Syrah, Maule Valley",  Red Blend  ,87.0,73.33
"Gato Negro Merlot, Central Valley,",  Merlot  ,82.0,40.0
"Culitos Cabernet Sauvignon -  Merlot, Central Valley",  Cabernet Sauvignon - Merlot  ,,49.33
"Emiliana Adobe Reserva  Cabernet Sauvignon, Central Valley",  Cabernet Sauvignon  ,86.0,65.33
"Lapostolle Grand  Selection Carmenere, Rapel Valley",  Carmenere  ,88.0,97.33
"Vina Ventisquero  Heru Pinot Noir, Casablanca Valley",  Pinot Noir  ,91.0,236.0
"Pedro Parra 'Imaginador', Itata  Valley",  Cinsault  ,90.0,137.33
"Terra Noble Gran  Reserva Cabernet Sauvignon, Colchagua Valley",  Cabernet Sauvignon  ,89.0,121.33
"El Campo Reserva Privada  Chardonnay, Central Valley",  Chardonnay  ,,49.33
"Santa Carolina  Vistana Cabernet Sauvignon - Merlot, Central Valley",  Cabernet Sauvignon - Merlot  ,82.0,49.33
"Montes Cherub Rose, Colchagua  Valley",  Syrah  ,86.0,97.33
"Vina  Haras de Pirque 'Hussonet' Gran Reserva Cabernet Sauvignon, Maipo Valley",  Cabernet Sauvignon  ,89.0,105.33
"William Cole  Columbine Grand Reserve Cabernet Sauvignon, Maipo Valley",  Cabernet Sauvignon  ,89.0,81.33
"Garage Wine Co. 'Vigno' Red, Maule  Valley",  Carignan (Carinena)  ,93.0,365.33
"Lapostolle Cuvee  Alexandre Syrah, Apalta",  Syrah  ,89.0,146.67
Cono Sur Bicicleta Reserva  Sauvignon Blanc,  Sauvignon Blanc  ,86.0,65.33
"Baettig  Vino de Vinedo 'Los Parientes' Chardonnay, Traiguen",  Chardonnay  ,92.0,170.67
"Concha y Toro Frontera  Chardonnay, Central Valley",  Chardonnay  ,81.0,32.0
"Baron  Philippe de Rothschild Escudo Rojo Reserva Carmenere, Rapel Valley",  Carmenere  ,89.0,105.33
"Primus Carmenere, Apalta,",  Carmenere  ,90.0,121.33
"Miguel Torres  Santa Digna Reserva Cabernet Sauvignon, Central Valley",  Cabernet Sauvignon  ,85.0,73.33
"Vina Quebrada de  Macul Stella Aurea, Maipo Valley",  Bordeaux Blend Red  ,91.0,349.33
"Miguel  Torres Santa Digna Estelado Sparkling Rose, Central Valley",  Pais (Mission)  ,88.0,97.33
"Clos de Luz Massal 1945  Carmenere, Central Valley",  Carmenere  ,91.0,154.67
"Errazuriz Aconcagua  Costa Pinot Noir, Aconcagua Valley",  Pinot Noir  ,90.0,129.33
Caballo Loco Grand Cru Limari  Valley,  Syrah  ,91.0,244.0
"Castillo de Molina  Reserva Cabernet Sauvignon, Cachapoal Valley",  Cabernet Sauvignon  ,87.0,73.33
"Vina El Principal  'Calicanto', Maipo Valley",  Cabernet Sauvignon - Carmenere  ,88.0,137.33
Capel Moai Pisco Reservado,  Pisco  ,,202.67
"Antiyal Carmenere  Vinedo Escorial, Maipo Valley",  Carmenere  ,93.0,413.33
"Casillero del Diablo  Reserva Sauvignon Blanc, Central Valley",  Sauvignon Blanc  ,85.0,65.33
"De Martino Estate Cabernet  Sauvignon, Maipo Valley",  Cabernet Sauvignon  ,84.0,89.33
"Emiliana  Novas Gran Reserva Carmenere - Cabernet Sauvignon, Colchagua Valley",  Cabernet Sauvignon - Carmenere  ,88.0,81.33
"Errazuriz Max Reserva  Chardonnay, Aconcagua Valley",  Chardonnay  ,88.0,113.33
"Cono Sur Bicicleta Reserva Chardonnay,",  Chardonnay  ,86.0,57.33
"De  Martino Single Vineyard 'Las Cruces' Old Vines Field Blend, Cachapoal Valley",  Red Blend  ,93.0,252.0
"Cono Sur Silencio Cabernet  Sauvignon, Maipo Valley",  Cabernet Sauvignon  ,92.0,892.0
"Cono  Sur 'Viento Mar' Single Vineyard Block 21 Pinot Noir, San Antonio Valley",  Pinot Noir  ,89.0,121.33
"Veramonte Reserva Cabernet  Sauvignon, Colchagua Valley",  Cabernet Sauvignon  ,87.0,81.33
"Vina Tarapaca 'Cosecha  Tarapaca' Merlot, Central Valley",  Merlot  ,,49.33
"Vina El Principal 'El Principal',  Maipo Valley",  Cabernet Sauvignon - Carmenere  ,91.0,665.33
"Tabali 'Vetas  Blancas' Reserva Especial Pinot Noir, Limari Valley",  Pinot Noir  ,90.0,97.33
"Matetic EQ 'Granite'  Pinot Noir, Casablanca Valley",  Pinot Noir  ,91.0,194.67
"Ritual Pinot Noir, Casablanca  Valley",  Pinot Noir  ,89.0,129.33
"Cono Sur  20 Barrels Limited Edition Chardonnay, Casablanca Valley",  Chardonnay  ,90.0,129.33
"Lapostolle  Cuvee Alexandre Atalayas Vineyard Chardonnay, Casablanca Valley",  Chardonnay  ,89.0,154.67
"Casillero del  Diablo Reserva Privada Carmenere, Rapel Valley",  Carmenere  ,91.0,137.33
"Echeverria Limited  Edition Cabernet Sauvignon, Central Valley",  Cabernet Sauvignon  ,90.0,178.67
"Casillero del Diablo  Reserva Especial Cabernet Sauvignon, Maule Valley",  Cabernet Sauvignon  ,88.0,73.33
