product,grape,score,avg_price_liter
"Herdade do Esporao Private  Selection, Alentejo",  Alicante Bouschet - Aragonez  ,91.0,470.67
"Vadio Espumante Bruto  Rose, Bairrada",  Baga  ,89.0,137.33
"Croft Pink Rose Port,",  Port Blend Red  ,85.0,105.33
"Quinta  da Ribeirinha 'Rota de Cabral' Branco Vinho Regional Tejo, Ribatejo",  Portuguese White Blend  ,84.0,40.0
"Vinha do Fava Reserva,  Vinho Regional Setubal Peninsula",  Portuguese Red Blend  ,,113.33
"Castello D'Alba Tinto Reserva,  Douro",  Touriga Nacional  ,88.0,81.33
Kopke Late  Bottled Vintage Port,  Port Blend Red  ,88.0,154.67
"Herdade  das Mouras de Arraiolos 'Conde de Arraiolos' Premium Tinto, Vinho Regional Alentejano,",  Red Blend  ,,49.33
Quinta do  Vesuvio 'Capela' Vintage Port,  Port Blend Red  ,95.0,1096.0
"Lobo e Falcao Reserva, Vinho  Regional Tejo",  Portuguese Red Blend  ,87.0,129.33
"Quinta da Pellada Carrocel, Dao,",  Touriga Nacional  ,92.0,462.67
"Quinta do Ermizio 'Chin  Chin', Vinho Verde",  Portuguese White Blend  ,88.0,81.33
"Vicente Faria Animus, Douro,",  Tinta Roriz (Aragonez) - Touriga  ,85.0,73.33
Ezequiel Maracuja -  Passion Fruit Liquor,  Liqueur - Fruit  ,,97.33
"Quinta do Noval Cedro  do Noval, Vinho Regional Duriense",  Portuguese Red Blend  ,89.0,129.33
"Casa de Santar Reserva, Dao",  Portuguese Red Blend  ,89.0,113.33
"Luis Seabra 'Xisto  Ilimitado' Branco, Douro",  Portuguese White Blend  ,90.0,129.33
"Porto Cruz Vintage Port,",  Port Blend Red  ,89.0,268.0
Smith  Woodhouse Late Bottled Vintage Port,  Port Blend Red  ,89.0,260.0
"Cortes  de Cima Chamine Tinto, Vinho Regional Alentejano",  Syrah - Tempranillo  ,86.0,81.33
"Filipa  Pato & William Wouter Nossa Calcario Bical, Bairrada",  Bical  ,91.0,186.67
"Aveleda Alvarinho, Vinho Verde,",  Albarino (Alvarinho)  ,87.0,81.33
"Companhia  Vinicola da Madeira CVM Malmsey Vintage, Madeira",  Malvasia  ,99.0,174.67
Sandeman Quinta  Seixo Vintage Port,  Port Blend Red  ,93.0,520.0
"Anselmo Mendes Expressoes,  Vinho Verde",  Albarino (Alvarinho)  ,92.0,162.67
"Hooper's Vintage Port,",  Port Blend Red  ,87.0,1314.67
Warre's Otima 10  Year Old Tawny Port,  Port Blend Red  ,90.0,244.0
Taylor  Fladgate Historical Collection I '325th Anniversary' The Onion Reserve Tawny Port,  Port Blend Red  ,92.0,333.33
"Quinta do  Zambujeiro 'Zambujeiro', Vinho Regional Alentejano",  Red Blend  ,92.0,510.67
"Antonio  Bernardino Paulo da Silva Chitas Reserva Tinto, Colares",  Ramisco  ,89.0,446.67
Constantino Fine Brandy,  Brandy  ,,89.33
"Real Companhia Velha  Quinta das Carvalhas 'Carvalhas' Tinto, Douro",  Portuguese Red Blend  ,90.0,146.67
"Quinta do Ameal Loureiro, Vinho  Verde",  Loureiro  ,89.0,97.33
J H Andresen Colheita  Port,  Port Blend Red  ,91.0,552.0
"Caves  Sao Joao Quinta do Poco do Lobo Reserva Tinto, Bairrada",  Portuguese Red Blend  ,89.0,186.67
"Duorum Tinto, Douro",  Portuguese Red Blend  ,88.0,113.33
Sharish  Gin,  Gin  ,89.0,276.0
"Julio Bastos Dona  Maria Gran Reserva, Alentejo",  Portuguese Red Blend  ,92.0,260.0
Barros  Special Edition 100 Year Old Tawny Port,  Port Blend Red  ,,760.0
Joa,  Portuguese Red Blend  ,91.0,333.33
"Quinta de Cabriz Reserva, Dao,",  Alfrocheiro Preto - Tinta Roriz -  Touriga  ,88.0,97.33
"Herdade do Peso 'Trinca  Bolotas', Alentejo",  Portuguese Red Blend  ,87.0,81.33
Quinta de Roriz Vintage  Port,  Port Blend Red  ,90.0,413.33
"Quinta  da Ribeirinha 'Rota de Cabral' Tinto Vinho Regional Tejo, Ribatejo",  Portuguese Red Blend  ,,40.0
Real Vinicola Vintage  Port,  Port Blend Red  ,,786.67
Burmester  Late Bottled Vintage Port,  Port Blend Red  ,88.0,162.67
Caves Messias Vintage  Port,  Port Blend Red  ,89.0,778.67
Dow's Colheita Port,  Port Blend Red  ,89.0,494.67
"Quinta de Roriz Prazo de Roriz,  Douro",  Portuguese Red Blend  ,88.0,97.33
Fonseca  Quinta Do Panascal Single Quinta Vintage Port,  Port Blend Red  ,90.0,333.33
"Osborne Vintage Port,",  Port Blend Red  ,87.0,438.67
Taylor  Fladgate 30 Year Old Tawny Port,  Port Blend Red  ,91.0,884.0
"Anselmo Mendes  'Muros Antigos' Alvarinho, Vinho Verde",  Albarino (Alvarinho)  ,89.0,81.33
"Colinas  de Sao Lourenco 'Principal' Grande Reserva, Bairrada",  Red Blend  ,91.0,1046.67
"Luis Seabra Xisto Cru Branco,  Douro",  Portuguese White Blend  ,92.0,236.0
"Quinta do Noval Reserva Tinto,  Douro",  Portuguese Red Blend  ,92.0,316.0
"Vadio Tinto, Bairrada",  Baga  ,89.0,121.33
"Blandy's Vintage Verdelho,  Madeira",  Verdelho  ,92.0,322.67
"Casa Santos  Lima 'Lab' Tinto, Vinho Regional Lisboa",  Portuguese Red Blend  ,85.0,49.33
Sandeman Founder's  Reserve Port,  Port Blend Red  ,87.0,129.33
"Herdade  de Sao Miguel Colheita Seleccionada, Vinho Regional Alentejano",  Alicante Bouschet - Aragonez -  Trincadeira  ,88.0,65.33
"Luis Seabra Granito  Cru Alvarinho, Vinho Verde",  Albarino (Alvarinho)  ,91.0,170.67
"Barao de Vilar 'Baronesa de  Vilar' Reserva, Douro",  Touriga Nacional  ,84.0,146.67
W & J  Graham's Blend No 5 White Port,  Port Blend White  ,86.0,154.67
"Monte  da Ravasqueira 'Coutada Velha Signature', Vinho Regional Alentejano",  Portuguese Red Blend  ,88.0,113.33
"Jose  Maria da Fonseca Periquita Original, Vinho Regional Peninsula de Setubal",  Portuguese Red Blend  ,85.0,65.33
Taylor  Fladgate Limited Editions 1863 Single Harvest Port,  Port Blend Red  ,,404.0
Jose  Maria da Fonseca Alambre Moscatel de Setubal,  Moscatel de Setubal  ,88.0,89.33
Dow's  Quinta da Senhora da Ribeira Single Quinta Vintage Port,  Port Blend Red  ,91.0,405.33
"W.J Hart Vintage Port,",  Port Blend Red  ,,778.67
"Leacock's Sercial Vintage,  Madeira",  Sercial  ,91.0,286.67
"Reynolds  'Gloria Reynolds' Tinto, Vinho Regional Alentejano",  Portuguese Red Blend  ,92.0,373.33
"Vinha do  Fava Touriga Nacional, Vinho Regional Setubal Peninsula",  Touriga Nacional  ,86.0,89.33
"Boas Quintas 'Opta' Tinto, Dao,",  Alfrocheiro Preto - Tinta Roriz -  Touriga  ,87.0,65.33
"Gazela Branco, Vinho Verde,",  Loureiro  ,85.0,49.33
"Esporao Quinta dos Murcas  Reserva, Douro",  Portuguese Red Blend  ,90.0,218.67
Quinta do Vallado  Vintage Port,  Port Blend Red  ,92.0,357.33
Quinta do Infantado  Vintage Port,  Port Blend Red  ,89.0,438.67
"Adega  Cooperativa de Borba 'Rotulo Cortica' Reserva, Alentejo",  Alicante Bouschet - Aragonez -  Trincadeira  ,87.0,121.33
Wine & Soul 10 Year  Old Tawny Port,  Port Blend Red  ,89.0,226.67
Dow's 30 Year Old  Tawny Port,  Port Blend Red  ,92.0,852.0
"Pocas Junior Vintage Port,",  Port Blend Red  ,91.0,373.33
"Niepoort Poeirinho Baga,  Bairrada",  Baga  ,91.0,284.0
Quinta do Vale  D. Dona Maria Vintage Port,  Port Blend Red  ,91.0,397.33
"Herdade da Malhadinha  Nova 'Malhadinha' Tinto, Alentejo",  Portuguese Red Blend  ,90.0,300.0
Cockburn's  Quinta Dos Canais Vintage Port,  Port Blend Red  ,91.0,349.33
"Conceito Tinto, Douro",  Tinta Roriz (Aragonez) - Touriga  ,92.0,210.67
Quinta  do Crasto Late Bottled Vintage Port,  Port Blend Red  ,90.0,146.67
"Niepoort Tiara Branco, Douro,",  Portuguese White Blend  ,90.0,178.67
"Casa  Ermelinda Freitas 'Vinha do Torrao' Tinto, Vinho Regional da Peninsula de Setubal",  Portuguese Red Blend  ,,40.0
