product,grape,score,avg_price_liter
"Bodegas  Hacienda Monasterio Reserva, Ribera del Duero",  Tempranillo  ,93,408.0
"Torres Grans  Muralles, Conca de Barbera",  Carinena - Garnacha  ,93.0,782.67
"Bodegas Ego 'Infinito', Jumilla,",  Red Blend  ,90.0,130.67
"Bodegas Matarromera  Crianza, Ribera del Duero",  Tempranillo  ,89.0,162.67
"Bodegas Muga Aro, Rioja DOCa",  Rioja Red Blend  ,94.0,370.67
"Artadi Pagos Viejos, La Guardia,",  Tempranillo  ,92.0,594.67
"Bodega Lanzaga 'Lanzaga', Rioja DOCa,",  Rioja Red Blend  ,92.0,196.0
"Granja  Nuestra Senora de Remelluri 'Remelluri' Blanco, Rioja DOCa",  Rioja White Blend  ,93.0,505.33
"Bodegas LAN Reserva, Rioja DOCa",  Tempranillo  ,89.0,122.67
"Martin Codax Albarino,  Rias Baixas",  Albariño  ,88.0,97.33
"Bodega Belondrade y  Lurton Verdejo, Rueda",  Verdejo  ,92.0,301.33
"Alvaro Palacios Camins  del Priorat, Priorat DOCa",  Carignan - Grenache - Syrah  ,90.0,154.67
"Comando G 'Las  Iruelas' El Tiemblo, Castilla y Leon",  Grenache (Garnacha)  ,93.0,986.67
"Alfonso I Light Brandy, Andalucia,",  Brandy  ,,41.33
"Mar de Frades Albarino,  Rias Baixas",  Albariño  ,89.0,114.67
"Santiago Ruiz O Rosal,  Rias Baixas",  Albarino (Alvarinho)  ,88.0,122.67
"Bodegas Arzuaga  Navarro 'Arzuaga' Crianza, Ribera del Duero",  Tempranillo  ,90.0,188.0
"Bodegas Protos Gran  Reserva, Ribera del Duero",  Tempranillo  ,91.0,358.67
"Condado de Haza  Crianza, Ribera del Duero",  Tempranillo  ,88.0,130.67
"Bodegas y Vinedos  Valderiz 'Valderiz', Ribera del Duero",  Tempranillo  ,91.0,188.0
"CVNE Vina Real Reserva,  Rioja DOCa",  Rioja Red Blend  ,91.0,154.67
"Pazo de  Senorans Seleccion de Anada Albarino, Rias Baixas",  Albariño  ,92.0,309.33
"Bodegas Alto  Moncayo 'Aquilon' Garnacha, Campo de Borja",  Grenache (Garnacha)  ,93.0,978.67
"Remirez de Ganuza  Gran Reserva, Rioja DOCa",  Tempranillo  ,93.0,1272.0
"Telmo  Rodriguez 'Matallana', Ribera del Duero",  Tempranillo  ,92.0,390.67
"Bodegas Ramon Bilbao Crianza,  Rioja DOCa",  Tempranillo  ,88.0,73.33
"Neleman 'Wine in Books' Blanco,  Valencia",  White Blend  ,,49.33
"R.  Lopez de Heredia Vina Tondonia 'Vina Bosconia' Gran Reserva, Rioja DOCa",  Rioja Red Blend  ,92.0,1226.67
"Comando G La Brena, Madrid",  Red Blend  ,93.0,929.33
"Descendientes  de J. Palacios Las Lamas, Bierzo",  Mencia  ,94.0,749.33
"Bodegas Juan Gil 'Bruto'  Monastrell, Jumilla",  Monastrell  ,92.0,236.0
"Torres Salmos, Priorat DOCa,",  Carignan - Grenache - Syrah  ,90.0,228.0
Lolea No. 1 Sparkling Red  Sangria,  Sangria  ,83.0,89.33
